event_day,event_hour,event_month,event_year,order_basket_value,order_discount,order_n_items,order_order_total,order_shipping_fee,price_average_per_item,customer_country_DE,customer_country_ES,customer_country_FR,customer_country_IT,order_channel_affiliate,order_channel_direct,order_channel_email,order_channel_seo,order_device_mobile,order_device_tablet,order_main_category_electronics,order_main_category_fashion,order_main_category_home,order_main_category_sports,order_is_returned
0.3125,-0.9166666666666666,0.0,0.0,-0.11229100534571362,0.0,0.6,-0.09427152420026536,0.0,-0.3297128074621259,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.5625,-0.08333333333333333,0.0,0.0,0.1258155573707774,0.0,-0.2,0.14251781472684077,0.0,0.5146804295545598,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
-0.5,-0.75,0.0,0.0,0.4696783265951838,0.0,0.6,0.4844783087063373,0.0,-0.05526988971418081,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.25,0.08333333333333333,0.0,0.0,-0.10170297684902754,0.0,0.8,-0.08374206949028808,0.0,-0.3799433119959269,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1
0.625,0.16666666666666666,0.0,0.0,0.5457384219287997,0.0,-0.4,0.5601176337518381,0.0,1.8483645667264454,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
0.5,-0.75,0.0,0.0,-0.37318664502186877,2.207368021268515,0.4,-0.4134867507789123,0.0,-0.40045111477400885,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
0.4375,0.3333333333333333,0.0,0.0,-0.029489313742723296,0.0,0.8,-0.011927897913646155,0.0,-0.350145844325582,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
0.0625,0.16666666666666666,0.0,0.0,-0.6870637866677696,0.0,0.8,-0.66586461835868,0.0,-0.6214802879056583,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0
-0.0625,0.25,0.0,0.0,-0.3641289175188444,0.0,0.0,-0.34471624970437326,0.0,-0.2099475643073212,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
-0.6875,0.5,0.0,0.0,-0.7103078179769008,2.4999999999999996,-0.2,-0.7858428190969758,0.0,-0.4053434061440922,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.5625,1.0,0.0,0.0,-0.22958650853556395,0.0,0.4,-0.2109181396592323,0.0,-0.32144629785805806,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0
0.25,-0.9166666666666666,0.0,0.0,-0.3986640885920196,0.0,0.6,-0.3790603695591819,0.0,-0.46475955342806796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
-0.6875,1.0,0.0,0.0,-0.47844653769400186,0.0,0.6,-0.45840145602615917,0.0,-0.5023830619445762,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
0.3125,0.5,0.0,0.0,0.37004332406191515,0.0,-0.4,0.38539449465815256,0.0,1.5583768401202025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
-0.0625,-0.4166666666666667,0.0,0.0,0.9945302079348175,0.0,0.8,1.0064266691345076,0.0,0.07239453485544277,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1
