customer_country,customer_customer_id,event_day,event_hour,event_id,event_month,event_time,event_year,order_basket_value,order_channel,order_device,order_discount,order_id,order_is_returned,order_main_category,order_n_items,order_order_total,order_shipping_fee,price_average_per_item
IT,CUST-0515,2,2,6150ccea-5e0a-4bfd-aa25-0377955915cc,2,2026-02-02 02:51:04.814843+00:00,2026,37.97,affiliate,mobile,0.0,ORD-04330,True,fashion,6,42.26,4.29,6.328333333333333
IT,CUST-0483,2,2,0a1bee23-c171-40b6-9391-b7e5c2914cc5,2,2026-02-02 02:37:04.835410+00:00,2026,123.63,direct,mobile,0.0,ORD-02472,True,home,3,123.63,0.0,41.21
IT,CUST-0600,2,2,1c7a57bb-ceb6-41ea-8f81-a6c8ed16c775,2,2026-02-02 02:33:04.827170+00:00,2026,192.3,affiliate,tablet,0.0,ORD-01359,False,sports,1,192.3,0.0,192.3
DE,CUST-0304,2,2,2441f9ce-e49f-4670-8a6c-df742834c7cd,2,2026-02-02 02:27:04.822249+00:00,2026,269.18,email,mobile,3.07,ORD-00668,False,electronics,8,266.11,0.0,33.6475
DE,CUST-0116,2,2,53e2d8b3-49bf-4c80-a954-926ab340ddbc,2,2026-02-02 02:11:04.792900+00:00,2026,299.47,seo,tablet,0.0,ORD-00028,False,fashion,7,299.47,0.0,42.78142857142858
ES,CUST-0501,2,1,6b8cbef7-e0d9-474f-a846-b14b6e159cdc,2,2026-02-02 01:58:04.849523+00:00,2026,417.8,seo,mobile,24.75,ORD-04086,False,home,7,393.05,0.0,59.68571428571429
IT,CUST-0500,2,1,80286545-8e4a-49fd-b704-268413e53f43,2,2026-02-02 01:57:04.841130+00:00,2026,316.04,direct,desktop,0.0,ORD-01753,False,electronics,8,316.04,0.0,39.505
IT,CUST-0272,2,1,209b2e9e-1475-4acd-9efd-442b23846d12,2,2026-02-02 01:28:04.803130+00:00,2026,279.19,ads,tablet,0.0,ORD-02696,False,home,2,279.19,0.0,139.595
FR,CUST-0364,2,1,a40cef33-d541-40e8-87fb-8bb32ba4e939,2,2026-02-02 01:27:04.795310+00:00,2026,336.29,email,tablet,16.78,ORD-01923,True,fashion,5,319.51,0.0,67.25800000000001
BE,CUST-0169,2,1,38a80f95-7b66-4f7e-856e-436549419a34,2,2026-02-02 01:19:04.869150+00:00,2026,184.06,email,desktop,0.0,ORD-03285,False,beauty,4,184.06,0.0,46.015
FR,CUST-0566,2,1,ef5fad28-d63e-4917-9678-75a1a37d9208,2,2026-02-02 01:15:04.861550+00:00,2026,236.14,direct,desktop,0.0,ORD-00568,False,electronics,4,236.14,0.0,59.035
DE,CUST-0435,2,0,049f3fea-5eea-494f-8799-4ea64676dae5,2,2026-02-02 00:47:04.797285+00:00,2026,205.68,email,desktop,0.0,ORD-03049,True,fashion,4,205.68,0.0,51.42
BE,CUST-0500,2,0,80137a73-2763-4de8-9dcd-c5ff7d74df0c,2,2026-02-02 00:38:04.823205+00:00,2026,180.24,direct,mobile,0.0,ORD-03588,False,sports,2,180.24,0.0,90.12
